Currency Code,Currency Description,Total,EI,EI_XS,NEI_L,NEI_L_XS,NEI_S,DC
HA21B,Major Knee Procedures for Trauma Category 2 with CC,9256,7797,,9263,229,2430,261
HA21C,Major Knee Procedures for Trauma Category 2 without CC,5145,4221,201,5376,282,2407,2168
HA22B,Major Knee Procedures for Trauma Category 1 with CC,9014,5825,,9187,225,2730,1420
HA22C,Major Knee Procedures for Trauma Category 1 without CC,4362,3527,184,4957,247,1984,1860
HA23B,Intermediate Knee Procedures for Trauma Category 2 with CC,6661,4154,,7194,262,1953,1614
HA23C,Intermediate Knee Procedures for Trauma Category 2 without CC,3076,2953,295,3829,267,1985,1639
HA24Z,Intermediate Knee Procedures for Trauma Category 1,6247,5893,283,6891,202,1810,1525
HA25B,Minor Knee Procedures for Trauma Category 2 with CC,4504,5083,,5155,243,1003,1898
HA25C,Minor Knee Procedures for Trauma Category 2 without CC,2902,2962,223,3973,341,1422,1440
HA26B,Minor Knee Procedures for Trauma Category 1 with CC,6967,11581,,4679,,539,1091
HA26C,Minor Knee Procedures for Trauma Category 1 without CC,2299,3391,558,3258,204,1143,1268
HA29Z,Minimal Knee Procedures for Trauma with length of stay 1 day or less,691,1075,,1138,,667,580
HA31B,Major Foot Procedures for Trauma with CC,5969,3769,181,6185,242,2089,1941
HA31C,Major Foot Procedures for Trauma without CC,3667,3124,278,4071,300,2204,1528
HA32Z,Intermediate Foot Procedures for Trauma Category 2,5031,3766,125,5525,254,2540,1930
HA33Z,Intermediate Foot Procedures for Trauma Category 1,3880,3082,302,4113,267,2250,1859
HA34Z,Minor Foot Procedures for Trauma Category 2,3603,2813,205,4095,268,2022,1614
HA35Z,Minor Foot Procedures for Trauma Category 1,2445,2137,378,2577,260,1171,1976
HA39Z,Minimal Foot Procedures for Trauma with length of stay 1 day or less,646,984,,487,,627,901
HA51Z,Major Hand Procedures for Trauma Category 2,2008,2419,196,2716,312,1728,1674
HA52Z,Major Hand Procedures for Trauma Category 1,2222,2443,203,3509,310,1696,1622
HA53Z,Intermediate Hand Procedures for Trauma Category 2,1965,2051,272,2508,313,1774,1884
HA54Z,Intermediate Hand Procedures for Trauma Category 1,1641,1813,412,2186,312,1458,1409
HA55Z,Minor Hand Procedures for Trauma Category 2,1697,2046,244,2209,323,1500,1496
HA56A,Minor Hand Procedures for Trauma Category 1 19 years and over,1457,1572,241,2001,278,1276,1231
HA56B,Minor Hand Procedures for Trauma Category 1 18 years and under,1248,1346,400,1774,276,1193,1130
HA59Z,Minimal Hand Procedures for Trauma with length of stay 1 day or less,615,796,,375,,596,869
HA61B,Major Shoulder and Upper Arm Procedures for Trauma with CC,5850,4592,375,6418,259,3051,1930
HA61C,Major Shoulder and Upper Arm Procedures for Trauma without CC,3501,3449,348,3997,273,2704,2405
HA62Z,Intermediate Shoulder and Upper Arm Procedures for Trauma,3013,3352,442,3335,282,1992,1793
HA63Z,Minor Shoulder and Upper Arm Procedures for Trauma,1936,2713,344,2247,239,1159,1724
HA69Z,Minimal Shoulder and Upper Arm Procedures for Trauma with length of stay 1 day or less,589,650,,946,,574,642
HA71B,Major Elbow and Lower Arm Procedures for Trauma with CC,4003,3368,268,4494,256,2341,2096
HA71C,Major Elbow and Lower Arm Procedures for Trauma without CC,2747,2763,319,3241,303,2251,1972
HA72Z,Intermediate Elbow and Lower Arm Procedures for Trauma,2338,2611,257,2999,266,1789,1593
HA73B,Minor Elbow and Lower Arm Procedures for Trauma 18 years and under,1409,1316,203,1799,161,1365,1155
HA73C,Minor Elbow and Lower Arm Procedures for Trauma 19 years and over,1503,1983,278,1860,280,946,1375
HA79Z,Minimal Elbow and Lower Arm Procedures for Trauma with length of stay 1 day or less,628,1222,,769,,607,786
HA81A,Sprains Strains or Minor Open Wounds with Major CC,1724,2438,274,2230,221,517,395
HA81B,Sprains Strains or Minor Open Wounds with Intermediate CC,1056,1338,220,1514,262,436,620
HA81C,Sprains Strains or Minor Open Wounds without CC,815,1069,275,1299,232,452,545
HA83A,Head Injury with Major CC,1282,1242,289,1761,220,451,548
HA83B,Head Injury with Intermediate CC,728,1253,248,1118,228,441,414
HA83C,Head Injury without CC,574,1391,189,1108,220,413,522
HA91Z,Hip Trauma Diagnosis without Procedure,3014,5819,279,3702,221,684,505
HA92Z,Knee Trauma Diagnosis without Procedure,2789,2867,284,3347,225,608,447
HA93Z,Foot Trauma Diagnosis without Procedure,1793,1676,273,2137,235,556,656
HA94Z,Arm Trauma Diagnosis without Procedure,1510,1412,274,2074,228,515,533
HA95Z,Hand Trauma Diagnosis without Procedure,1028,977,276,1270,238,642,788
HA96Z,Multiple Trauma Diagnoses without Procedure,2770,4431,289,3402,251,558,344
HA97Z,Other Trauma Diagnosis without Procedure,1367,2518,331,1846,226,472,527
HA99Z,Other Procedures for Trauma,2415,4329,261,5809,244,1944,1151
HB11A,Major Hip Procedures for Non-Trauma Category 2 with Major CC,11736,10456,224,13386,240,4470,397
HB11B,Major Hip Procedures for Non-Trauma Category 2 with Intermediate CC,6643,6393,307,8038,325,2217,3536
HB11C,Major Hip Procedures for Non-Trauma Category 2 without CC,6412,6258,304,7293,300,2181,2391
HB12A,Major Hip Procedures for Non-Trauma Category 1 with Major CC,8830,8343,325,9058,248,2566,3296
HB12B,Major Hip Procedures for Non-Trauma Category 1 with Intermediate CC,6583,6504,310,6228,275,2517,1933
HB12C,Major Hip Procedures for Non-Trauma Category 1 without CC,5958,5942,295,5569,271,2136,2139
HB13Z,Intermediate Hip Procedures for Non-Trauma Category 2,4492,4206,334,6099,316,1824,1377
HB14B,Intermediate Hip Procedures for Non-Trauma Category 1 with CC,4834,5261,394,5214,270,1461,1232
HB14C,Intermediate Hip Procedures for Non-Trauma Category 1 without CC,2453,3433,276,2968,282,1419,1259
HB15D,Minor Hip Procedures for Non-Trauma Category 2 19 years and over with CC,4902,4800,264,6447,211,1775,1030
HB15E,Minor Hip Procedures for Non-Trauma Category 2 19 years and over without CC,1574,2509,345,3028,268,1115,939
HB15F,Minor Hip Procedures for Non-Trauma Category 2 18 years and under with CC,4700,3057,,11825,435,735,1349
HB15G,Minor Hip Procedures for Non-Trauma Category 2 18 years and under without CC,2072,2637,297,3630,430,1400,1294
HB16B,Minor Hip Procedures for Non-Trauma Category 1 with CC,5239,5002,403,7183,251,4272,810
HB16C,Minor Hip Procedures for Non-Trauma Category 1 without CC,1429,2315,307,3994,270,1081,914
HB19Z,Minimal Hip Procedures for Non-Trauma with length of stay 1 day or less,694,1319,,4648,,921,760
HB21A,Major Knee Procedures for Non-Trauma Category 2 with Major CC,8188,7880,329,9621,283,2716,2402
HB21B,Major Knee Procedures for Non-Trauma Category 2 with CC,6164,6101,292,6041,269,373,1782
HB21C,Major Knee Procedures for Non-Trauma Category 2 without CC,5761,5740,316,5991,265,938,2478
HB22B,Major Knee Procedures for Non-Trauma Category 1 with CC,4812,5274,268,10307,234,2588,1463
HB22C,Major Knee Procedures for Non-Trauma Category 1 without CC,2130,2691,372,3081,319,1415,1533
HB23B,Intermediate Knee Procedures for Non-Trauma with CC,2900,3214,256,5201,245,1236,1329
HB23C,Intermediate Knee Procedures for Non-Trauma without CC,1593,2373,318,2654,275,1503,1349
HB24B,Minor Knee Procedures for Non-Trauma Category 2 with CC,3325,3463,252,4162,249,769,1153
HB24C,Minor Knee Procedures for Non-Trauma Category 2 without CC,1483,2177,345,2032,243,718,1220
HB25D,Minor Knee Procedures for Non-Trauma Category 1 19 years and over with Major CC,5331,5306,212,5925,201,1405,1151
HB25E,Minor Knee Procedures for Non-Trauma Category 1 19 years and over with Intermediate CC,2080,2285,167,3437,310,1436,1239
HB25F,Minor Knee Procedures for Non-Trauma Category 1 19 years and over without CC,1531,2224,348,2662,278,1328,1293
HB25G,Minor Knee Procedures for Non-Trauma Category 1 18 years and under with Major CC,5096,3651,,5962,200,1960,1166
HB25H,Minor Knee Procedures for Non-Trauma Category 1 18 years and under with Intermediate CC,2613,2946,,,,1005,2276
HB25J,Minor Knee Procedures for Non-Trauma Category 1 18 years and under without CC,1492,2134,354,3243,357,1499,1480
HB29Z,Minimal Knee Procedures for Non-Trauma with length of stay 1 day or less,417,1107,,1659,,567,635
HB31Z,Major Foot Procedures for Non-Trauma,3466,3996,312,4179,282,2581,1609
HB32A,Intermediate Foot Procedures for Non-Trauma Category 2 19 years and over,2469,3024,306,4288,303,1820,1667
HB32B,Intermediate Foot Procedures for Non-Trauma Category 2 18 years and under,3003,3506,399,5132,687,2346,1544
HB33D,Intermediate Foot Procedures for Non-Trauma Category 1 19 years and over with CC,3640,3178,284,5895,254,1337,1559
HB33E,Intermediate Foot Procedures for Non-Trauma Category 1 19 years and over without CC,1804,2245,337,2222,287,1879,1516
HB33F,Intermediate Foot Procedures for Non-Trauma Category 1 18 years and under with CC,3980,3466,432,6843,447,1290,1174
HB33G,Intermediate Foot Procedures for Non-Trauma Category 1 18 years and under without CC,2117,2603,409,3154,394,1900,1499
HB34D,Minor Foot Procedures for Non-Trauma Category 2 19 years and over with CC,3203,3080,242,5191,252,1342,1340
HB34E,Minor Foot Procedures for Non-Trauma Category 2 19 years and over without CC,1459,2084,319,2720,250,1276,1284
HB34F,Minor Foot Procedures for Non-Trauma Category 2 18 years and under with CC,2884,2868,146,5529,337,396,1206
HB34G,Minor Foot Procedures for Non-Trauma Category 2 18 years and under without CC,1404,2068,420,2973,480,1290,1291
HB35B,Minor Foot Procedures for Non-Trauma Category 1 with CC,3615,3165,519,4848,264,757,1254
HB35C,Minor Foot Procedures for Non-Trauma Category 1 without CC,868,1920,450,1266,301,889,792
HB39Z,Minimal Foot Procedures for Non-Trauma with length of stay 1 day or less,660,1154,,251,,600,794
HB51Z,Major Hand Procedures for Non-Trauma Category 2,2060,2519,397,3961,311,2874,1758
HB52B,Major Hand Procedures for Non-Trauma Category 1 with CC,2722,2812,243,4742,374,2240,1792
HB52C,Major Hand Procedures for Non-Trauma Category 1 without CC,2271,2550,440,5688,591,2155,1795
HB53Z,Intermediate Hand Procedures for Non-Trauma Category 2,1795,2341,420,2706,382,1554,1553
HB54B,Intermediate Hand Procedures for Non-Trauma Category 1 with CC,2652,2890,493,4884,283,1007,1236
HB54C,Intermediate Hand Procedures for Non-Trauma Category 1 without CC,1594,2279,298,2844,327,1425,1336
HB55B,Minor Hand Procedures for Non-Trauma Category 2 with CC,1361,2214,287,3182,258,934,985
HB55C,Minor Hand Procedures for Non-Trauma Category 2 without CC,1128,1808,359,2052,283,1171,1061
HB56B,Minor Hand Procedures for Non-Trauma Category 1 with CC,2422,2781,374,3900,210,946,1112
HB56C,Minor Hand Procedures for Non-Trauma Category 1 without CC,1182,1810,250,2239,264,1274,1121
HB59Z,Minimal Hand Procedures for Non-Trauma with length of stay 1 day or less,478,838,,573,,573,663
HB61B,Major Shoulder and Upper Arm Procedures for Non-Trauma with CC,3369,3496,331,5484,233,2454,2197
HB61C,Major Shoulder and Upper Arm Procedures for Non-Trauma without CC,2632,2840,375,3192,375,2408,2092
HB62B,Intermediate Shoulder and Upper Arm Procedures for Non-Trauma with CC,2383,2403,304,3661,298,1819,1450
HB62C,Intermediate Shoulder and Upper Arm Procedures for Non-Trauma without CC,1708,2116,291,2823,268,1362,1485
HB63Z,Minor Shoulder and Upper Arm Procedures for Non-Trauma,1543,2088,324,2478,266,973,1183
HB69Z,Minimal Shoulder and Upper Arm Procedures for Non-Trauma with length of stay 1 day or less,323,1046,,1734,,561,561
HB71B,Major Elbow and Lower Arm Procedures for Non-Trauma with CC,5377,5058,267,7187,293,1138,1937
HB71C,Major Elbow and Lower Arm Procedures for Non-Trauma without CC,3131,3853,304,3470,285,2220,1943
HB72Z,Intermediate Elbow and Lower Arm Procedures for Non-Trauma,1857,2324,396,3654,314,1521,1484
HB73Z,Minor Elbow and Lower Arm Procedures for Non-Trauma,1465,2065,302,2533,256,1109,1284
HB79Z,Minimal Elbow and Lower Arm Procedures for Non-Trauma with length of stay 1 day or less,315,895,,719,,549,692
HB91Z,Other Non-Trauma Diagnosis without Procedure,2262,2688,261,2949,230,603,603
HB99Z,Other Procedures for Non-Trauma,714,3556,293,4995,281,1289,928
HC01Z,Extradural Spine Major 2,7847,7096,346,9379,313,5939,1890
HC02B,Extradural Spine Major 1 with CC,9473,7746,286,10240,313,5551,3294
HC02C,Extradural Spine Major 1 without CC,5977,5643,318,7028,274,3054,2747
HC03B,Extradural Spine Intermediate 2 with CC,7625,6059,324,9573,327,2797,1722
HC03C,Extradural Spine Intermediate 2 without CC,4983,4657,316,6237,312,3508,2019
HC04B,Extradural Spine Intermediate 1 with CC,5839,4937,257,6893,278,3073,1541
HC04C,Extradural Spine Intermediate 1 without CC,4039,3880,399,5051,292,2961,1526
HC05B,Extradural Spine Minor 2 with CC,4537,3494,,7718,222,1317,885
HC05C,Extradural Spine Minor 2 without CC,2037,2519,285,4644,278,1128,891
HC06Z,Extradural Spine Minor 1,892,1659,347,3296,318,969,734
HC07Z,Intradural Spine Major,7342,7097,372,8958,305,2616,956
HC09Z,Intradural Spine Intermediate 2,6583,6731,,13532,276,,724
HC10Z,Intradural Spine Intermediate 1,5194,4739,367,7816,169,1307,1407
HC11Z,Intradural Spine Minor 2,4121,4618,401,5270,329,1770,965
HC12Z,Intradural Spine Minor 1,843,1415,347,1560,296,640,682
HC20B,Vertebral Column Injury without Procedure with CC,3426,3860,244,4020,252,566,468
HC20C,Vertebral Column Injury without Procedure without CC,2192,3178,260,2653,241,579,524
HC21B,Spinal Cord Injury without Procedure with CC,14089,12247,,17520,205,997,
HC21C,Spinal Cord Injury without Procedure without CC,5146,3360,383,5181,338,1138,397
HC26B,Scoliosis or Other Spinal Deformity with CC,2217,2645,95,3243,250,529,686
HC26C,Scoliosis or Other Spinal Deformity without CC,1054,1818,252,2332,223,448,667
HC27B,Degenerative Spinal Conditions with CC,1585,2204,238,2469,223,473,630
HC27C,Degenerative Spinal Conditions without CC,894,1503,244,1781,240,468,599
HC28B,Spinal Cord Conditions with CC,5726,4997,188,6047,288,858,583
HC28C,Spinal Cord Conditions without CC,2563,2761,290,3315,274,818,733
HC29Z,Inflammatory Spinal Conditions,881,3188,330,2240,268,520,457
HC30B,Spinal Tumours with CC,4411,5260,326,4854,227,694,474
HC30C,Spinal Tumours without CC,2920,2612,344,3621,245,737,520
HC31B,Spinal Infection with CC,5919,6735,223,6549,247,580,602
HC31C,Spinal Infection without CC,2671,3120,200,4272,215,714,392
HC32B,Low Back Pain with CC,1290,2318,318,1906,241,456,438
HC32C,Low Back Pain without CC,816,1325,129,1469,240,460,457
HD21A,Soft Tissue Disorders with Major CC,1331,2019,243,1913,222,426,396
HD21B,Soft Tissue Disorders with Intermediate CC,611,1055,218,1074,246,393,471
HD21C,Soft Tissue Disorders without CC,494,879,245,755,268,382,492
HD23A,Inflammatory Spine Joint or Connective Tissue Disorders with Major CC,2081,3875,489,2738,225,493,519
HD23B,Inflammatory Spine Joint or Connective Tissue Disorders with Intermediate CC,704,1916,335,1808,254,451,448
HD23C,Inflammatory Spine Joint or Connective Tissue Disorders without CC,526,1472,335,1654,284,464,441
HD24A,Non-Inflammatory Bone or Joint Disorders with Major CC,2611,3562,310,3392,231,500,417
HD24B,Non-Inflammatory Bone or Joint Disorders with Intermediate CC,907,1915,278,2015,233,450,384
HD24C,Non-Inflammatory Bone or Joint Disorders without CC,514,1460,276,1419,226,457,361
HD25A,Infections of Bones or Joints with Major CC,3460,4073,227,4068,247,585,456
HD25B,Infections of Bones or Joints with Intermediate CC,1772,3059,279,2687,240,528,475
HD25C,Infections of Bones or Joints without CC,1386,2314,234,2424,234,500,318
HD26A,Musculoskeletal Signs and Symptoms with Major CC,1634,2692,302,2330,224,467,457
HD26B,Musculoskeletal Signs and Symptoms with Intermediate CC,878,1401,262,1369,236,414,556
HD26C,Musculoskeletal Signs and Symptoms without CC,607,947,258,1183,255,396,518
HD39A,Pathological Fractures with Major CC,3295,4869,288,3888,229,568,355
HD39B,Pathological Fractures with Intermediate CC,1440,1765,316,2610,223,495,398
HD39C,Pathological Fractures without CC,646,1511,,2255,371,517,357
HD40A,Malignancy of Bone or Connective Tissue with Major CC,3031,3771,292,3729,262,604,325
HD40B,Malignancy of Bone or Connective Tissue with Intermediate CC,755,1932,217,2297,256,539,330
HD40C,Malignancy of Bone or Connective Tissue without CC,594,1964,193,2335,173,504,338
HR01B,Reconstruction Procedures Category 6 with CC,20400,20070,312,17960,293,6829,
HR01C,Reconstruction Procedures Category 6 without CC,16130,16180,317,12431,272,5790,2490
HR02Z,Reconstruction Procedures Category 5,9254,9176,381,10129,363,3366,5079
HR03Z,Reconstruction Procedures Category 4,11062,9293,300,10823,256,2595,1223
HR04B,Reconstruction Procedures Category 3 with CC,12080,10963,291,12975,257,3785,1116
HR04C,Reconstruction Procedures Category 3 without CC,8492,8327,303,9568,311,4437,1491
HR05Z,Reconstruction Procedures Category 2,7340,6734,331,9183,279,4168,2236
HR06A,Reconstruction Procedures Category 1 19 years and over,4587,4492,322,5465,282,2823,2166
HR06B,Reconstruction Procedures Category 1 18 years and under,3900,4496,428,3953,387,2339,2287
JA12A,Malignant Breast Disorders with Major CC,1860,2078,319,3070,249,536,477
JA12B,Malignant Breast Disorders with Intermediate CC,537,1244,249,1892,253,550,388
JA12C,Malignant Breast Disorders without CC,490,1321,160,1767,252,371,435
JA13Z,Non-Malignant Breast Disorders,922,2057,297,1529,262,464,248
JA14Z,Free Perforator Flap Breast Reconstruction,5996,8861,433,10034,419,2827,1326
JA18A,Unilateral Minor Breast Procedures with Major CC,2767,2646,498,3658,237,868,860
JA18B,Unilateral Minor Breast Procedures with Intermediate CC,1405,1677,211,2096,281,912,847
JA18C,Unilateral Minor Breast Procedures without CC,269,1648,250,1595,259,751,710
JA19Z,Bilateral Minor Breast Procedures,686,1700,,2397,254,412,697
JA20A,Unilateral Major Breast Procedures with Major CC,2813,2950,382,4875,267,1310,1552
JA20B,Unilateral Major Breast Procedures with Intermediate CC,2500,2767,403,3643,468,1486,1621
JA20C,Unilateral Major Breast Procedures without CC,2166,2628,355,2932,264,1312,1603
JA21A,Bilateral Major Breast Procedures with CC,3459,3518,253,4191,228,1199,1699
JA21B,Bilateral Major Breast Procedures without CC,3033,3144,313,4305,327,1303,1732
JA24A,Unilateral Intermediate Breast Procedures with Major CC,2660,2394,261,4398,255,1194,1249
JA24B,Unilateral Intermediate Breast Procedures with Intermediate CC,1711,2132,320,2318,317,964,1313
JA24C,Unilateral Intermediate Breast Procedures without CC,1293,1984,403,2304,411,977,1273
JA25Z,Bilateral Intermediate Breast Procedures,1785,2158,279,3023,276,1121,1407
JA26Z,Major Breast Procedures with Lymph Node Surgery,3425,3468,261,3898,286,837,2221
JA27Z,Mastectomy with Simple Breast Reconstruction,6860,6867,943,6197,235,,1241
JA28Z,Mastectomy with Complex Breast Reconstruction,10184,10149,323,2624,,,
JA30Z,Unilateral Pedicled Myocutaneous Breast Reconstruction with or without Insertion of Prosthesis,5017,5244,260,7778,,,1588
JA31Z,Bilateral Pedicled Myocutaneous Breast Reconstruction with or without Insertion of Prosthesis,4947,5398,,,,,1275
JB01A,Major Burn with Significant Graft,11542,14936,,17152,534,1360,2606
JB01B,Major Burn transferred in 2 days or less,695,5394,,1590,,470,501
JB01C,Major Burn without Significant Graft,3823,,,3777,216,,
JB11A,Other Burn with Multiple Significant Graft Procedures with Major CC,19414,7584,,20582,441,,1508
JB11B,Other Burn with Multiple Significant Graft Procedures without Major CC,11282,6494,,12879,534,,1937
JB12A,Other Burn with One Significant Graft Procedure with Major CC,12335,7943,757,14851,544,2261,1807
JB12B,Other Burn with One Significant Graft Procedure without Major CC,5071,3736,481,8046,583,2127,1735
JB13A,Other Burn with Other Procedure with Major CC,4869,3653,303,7605,435,1176,1043
JB13B,Other Burn with Other Procedure without Major CC,779,2168,435,2870,554,1049,1153
JB21A,Other Burn without Other Procedure with Major CC,2807,5260,514,3829,295,585,872
JB21B,Other Burn without Other Procedure without Major CC,1129,1028,409,1749,516,636,688
JC01A,Major Multiple Skin Procedures with Major CC,9618,9080,241,9795,254,4113,1033
JC01B,Major Multiple Skin Procedures with Intermediate CC,5309,6148,190,6255,265,2429,733
JC01C,Major Multiple Skin Procedures without CC,1323,4635,268,4642,244,1414,711
JC02A,Major Skin Procedures Category 2 with Major CC,6191,5651,274,7355,349,1798,1256
JC02B,Major Skin Procedures Category 2 with Intermediate CC,4134,4123,339,5102,262,2096,779
JC02C,Major Skin Procedures Category 2 without CC,2934,3701,305,4721,371,1521,791
JC03A,Major Skin Procedures Category 1 with Major CC,5700,5611,255,5886,264,1424,900
JC03B,Major Skin Procedures Category 1 with Intermediate CC,2794,3777,319,3582,267,1254,876
JC03C,Major Skin Procedures Category 1 without CC,1328,3151,306,2484,310,1289,737
JC04A,Intermediate Skin Procedures Category 2 with Major CC,2973,3522,322,3711,239,801,792
JC04B,Intermediate Skin Procedures Category 2 with Intermediate CC,1675,2557,294,2525,282,769,822
JC04C,Intermediate Skin Procedures Category 2 without CC,733,2311,344,2165,322,984,722
JC05A,Intermediate Skin Procedures Category 1 with Major CC,1008,1517,,1097,,972,840
JC05B,Intermediate Skin Procedures Category 1 with Intermediate CC,1016,1636,,1096,,883,897
JC05C,Intermediate Skin Procedures Category 1 without CC,498,1669,,1246,,942,809
JC06A,Minor Skin Procedures Category 2 with Major CC,1050,1482,,2401,,921,338
JC06B,Minor Skin Procedures Category 2 with Intermediate CC,1053,1484,,1517,,1073,388
JC06C,Minor Skin Procedures Category 2 without CC,1174,1466,,1285,,1267,491
JC07Z,Minor Skin Procedures Category 1,833,1709,,904,,849,614
JC09Z,Patch Tests,111,261,,,,60,371
JC10Z,Specified Skin Examinations and Investigations,171,902,,,,353,283
JC11Z,Other Diagnostic Skin Tests,195,707,,,,379,486
JC12Z,Urticaria Tests,310,713,,,,616,551
JC13Z,Photo Tests,110,,,,,,662
JC14Z,Skin Therapies Level 2,177,1149,,803,,807,913
JC15Z,Skin Therapies Level 3,398,1255,,903,,816,664
JC16Z,Skin Therapies Level 4,862,1265,,764,,982,908
JC17Z,Skin Therapies Level 5,1053,1652,,1366,,1155,1086
JC18Z,Electrical and Other Invasive Therapy Level 2,141,1482,,1271,,644,500
JC19D,Electrical and Other Invasive Therapy Level 4 19 years and over,167,1405,,,,,440
JC19U,Electrical and Other Invasive Therapy Level 4 18 years and under,345,963,,,,,628
JC20Z,Electrical and Other Invasive Therapy Level 3,95,2503,,,,715,1726
JC27Z,Nursing Procedures or Dressings,129,1017,,633,,495,397
JC33Z,Photochemotherapy,105,,,37,,419,174
JC34Z,Phototherapy,92,644,,2069,,787,263
JD01A,Major Skin Disorders Category 2 with Major CC,2941,4673,269,3456,223,533,375
JD01B,Major Skin Disorders Category 2 with Intermediate CC,1852,3496,247,2494,233,500,600
JD01C,Major Skin Disorders Category 2 without CC,1449,3146,262,2191,194,399,413
JD02A,Major Skin Disorders Category 1 with Major CC,3067,3933,308,3873,214,529,771
JD02B,Major Skin Disorders Category 1 with Intermediate CC,2251,4524,200,3107,200,520,434
JD02C,Major Skin Disorders Category 1 without CC,1043,1986,258,2912,504,559,348
JD03A,Intermediate Skin Disorders Category 2 with Major CC,1887,2933,247,2383,218,475,576
JD03B,Intermediate Skin Disorders Category 2 with Intermediate CC,1122,2409,261,1601,236,421,401
JD03C,Intermediate Skin Disorders Category 2 without CC,879,2409,327,1383,248,411,438
JD04A,Intermediate Skin Disorders Category 1 with Major CC,1867,3129,305,2255,228,496,429
JD04B,Intermediate Skin Disorders Category 1 with Intermediate CC,1251,2660,249,1729,258,450,442
JD04C,Intermediate Skin Disorders Category 1 without CC,911,2375,330,1509,311,476,544
JD05A,Minor Skin Disorders Category 2 with Major CC,1264,2474,346,1859,260,435,807
JD05B,Minor Skin Disorders Category 2 with Intermediate CC,800,2345,352,1274,235,402,360
JD05C,Minor Skin Disorders Category 2 without CC,685,2071,370,1254,314,380,356
JD06A,Minor Skin Disorders Category 1 with CC,1179,2498,324,1892,248,434,459
JD06B,Minor Skin Disorders Category 1 without CC,666,1961,270,1288,356,418,424
KA03A,Parathyroid Procedures with CC,2793,2648,276,3431,254,1660,1705
KA03B,Parathyroid Procedures without CC,2307,2365,210,3254,421,1216,1749
KA04Z,Adrenal Procedures,4554,4947,307,5301,306,1212,822
KA05A,Anterior Pituitary Disorders with CC,896,1950,182,2614,229,452,521
KA05B,Anterior Pituitary Disorders without CC,690,1197,245,1511,219,432,635
KA06A,Non-Pituitary Neoplasia and Hypoplasia with CC,1975,1870,332,2695,233,542,627
KA06B,Non-Pituitary Neoplasia and Hypoplasia without CC,1277,1501,306,1925,223,422,787
KA07Z,Non-Surgical Thyroid Disorders,1045,1270,349,1795,207,428,427
KA08Z,Other Endocrine Disorders,1038,1482,170,1725,232,427,564
KA09A,Thyroid Procedures with CC,3803,3559,333,3865,232,1628,1312
KA09B,Thyroid Procedures without CC,2087,3027,312,2753,265,1537,1446
KB01A,Diabetes with Hypoglycaemic Disorders 70 years and over,1274,1407,285,1689,215,433,333
KB01B,Diabetes with Hypoglycaemic Disorders 69 years and under,912,1141,253,1322,225,402,528
KB02A,Diabetes with Hyperglycaemic Disorders 70 years and over with Major CC,2087,2197,246,2536,215,471,440
KB02B,Diabetes with Hyperglycaemic Disorders 70 years and over with Intermediate CC,1223,1414,293,1649,209,431,428
KB02C,Diabetes with Hyperglycaemic Disorders 70 years and over without CC,983,1472,289,1509,228,425,648
KB02D,Diabetes with Hyperglycaemic Disorders 69 years and under with Major CC,1645,2393,238,1975,230,472,364
KB02E,Diabetes with Hyperglycaemic Disorders 69 years and under with Intermediate CC,789,1703,240,1189,228,416,438
KB02F,Diabetes with Hyperglycaemic Disorders 69 years and under without CC,605,974,133,986,211,402,671
KB03A,Diabetes with Lower Limb Complications with Major CC,3090,3242,113,3544,219,617,253
KB03B,Diabetes with Lower Limb Complications without Major CC,1569,1546,215,2149,233,500,434
KB04Z,Continuous Subcutaneous Insulin Infusion,635,2552,442,1805,174,424,493
KC04Z,Inborn Errors of Metabolism,339,948,270,2329,243,445,277
KC05A,Fluid and Electrolyte Disorders 70 years and over with Major CC,1986,2666,217,2460,212,463,438
KC05B,Fluid and Electrolyte Disorders 70 years and over with Intermediate CC,1169,1465,276,1617,227,430,338
KC05C,Fluid and Electrolyte Disorders 70 years and over without CC,632,821,348,1247,224,362,317
KC05D,Fluid and Electrolyte Disorders 69 years and under with Major CC,1822,2244,183,2301,248,454,343
KC05E,Fluid and Electrolyte Disorders 69 years and under with Intermediate CC,933,1228,271,1521,311,433,357
KC05F,Fluid and Electrolyte Disorders 69 years and under without CC,510,910,272,1064,280,372,416
LA01A,Kidney Transplant 19 years and over from Cadaver Non Heart-Beating Donor,17829,19391,309,19719,523,5945,
LA01B,Kidney Transplant 18 years and under from Cadaver Non Heart-Beating Donor,18675,17490,,30990,,2453,
LA02A,Kidney Transplant 19 years and over from Cadaver Heart-Beating Donor,19960,13740,218,21490,319,9843,
LA02B,Kidney Transplant 18 years and under from Cadaver Heart-Beating Donor,24869,16277,,35378,,9979,
LA03A,Kidney Transplant 19 years and over from Live Donor,18038,18006,413,12643,214,2569,209
LA03B,Kidney Transplant 18 years and under from Live Donor,25885,26767,647,13787,,16235,
LA04D,Kidney or Urinary Tract Infections with length of stay 2 days or more with Major CC,3154,4342,252,2922,219,413,106
LA04E,Kidney or Urinary Tract Infections with length of stay 2 days or more with Intermediate CC,2071,2475,285,1884,228,361,381
LA04F,Kidney or Urinary Tract Infections with length of stay 2 days or more without CC,1494,2135,288,1360,238,436,
LA04G,Kidney or Urinary Tract Infections with length of stay 1 day or less,453,596,,803,,433,400
LA05Z,Renal Replacement Peritoneal Dialysis Associated Procedures,1049,1366,,3806,,642,1057
